"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"x:\coding_projects\react_stuff\bored-games\README.md", "Markdown", 0, 18, 0, 0, 0, 0, 13, 31
"x:\coding_projects\react_stuff\bored-games\components\checkers-preview.js", "JavaScript", 0, 0, 32, 0, 0, 0, 12, 44
"x:\coding_projects\react_stuff\bored-games\components\draggable.js", "JavaScript", 0, 0, 78, 0, 0, 17, 21, 116
"x:\coding_projects\react_stuff\bored-games\components\draggable.module.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 4
"x:\coding_projects\react_stuff\bored-games\components\footer.js", "JavaScript", 0, 0, 15, 0, 0, 0, 3, 18
"x:\coding_projects\react_stuff\bored-games\components\footer.module.css", "CSS", 0, 0, 0, 5, 0, 0, 3, 8
"x:\coding_projects\react_stuff\bored-games\components\games\AbstractGameWidget.js", "JavaScript", 0, 0, 84, 0, 0, 25, 41, 150
"x:\coding_projects\react_stuff\bored-games\components\games\Board.js", "JavaScript", 0, 0, 47, 0, 0, 4, 22, 73
"x:\coding_projects\react_stuff\bored-games\components\games\GamePiece.js", "JavaScript", 0, 0, 5, 0, 0, 5, 2, 12
"x:\coding_projects\react_stuff\bored-games\components\games\Square.js", "JavaScript", 0, 0, 25, 0, 0, 5, 14, 44
"x:\coding_projects\react_stuff\bored-games\components\games\board.module.css", "CSS", 0, 0, 0, 47, 0, 0, 12, 59
"x:\coding_projects\react_stuff\bored-games\components\games\checkers\CheckersGameWidget.js", "JavaScript", 0, 0, 78, 0, 0, 19, 26, 123
"x:\coding_projects\react_stuff\bored-games\components\games\checkers\checkers.module.css", "CSS", 0, 0, 0, 8, 0, 0, 8, 16
"x:\coding_projects\react_stuff\bored-games\components\header.js", "JavaScript", 0, 0, 30, 0, 0, 0, 12, 42
"x:\coding_projects\react_stuff\bored-games\components\header.module.css", "CSS", 0, 0, 0, 3, 0, 0, 1, 4
"x:\coding_projects\react_stuff\bored-games\components\new-game-button.js", "JavaScript", 0, 0, 95, 0, 0, 2, 32, 129
"x:\coding_projects\react_stuff\bored-games\components\server-tester-http.js", "JavaScript", 0, 0, 35, 0, 0, 15, 22, 72
"x:\coding_projects\react_stuff\bored-games\components\server-tester.js", "JavaScript", 0, 0, 35, 0, 0, 0, 19, 54
"x:\coding_projects\react_stuff\bored-games\lib\ConfigManager.js", "JavaScript", 0, 0, 45, 0, 0, 8, 25, 78
"x:\coding_projects\react_stuff\bored-games\lib\GameControllers\GameController.js", "JavaScript", 0, 0, 88, 0, 0, 39, 50, 177
"x:\coding_projects\react_stuff\bored-games\lib\GameObjects\AbstractPiece.js", "JavaScript", 0, 0, 22, 0, 0, 26, 13, 61
"x:\coding_projects\react_stuff\bored-games\lib\GameObjects\checkers\BlackPawnPiece.js", "JavaScript", 0, 0, 14, 0, 0, 12, 6, 32
"x:\coding_projects\react_stuff\bored-games\lib\GameObjects\checkers\RedPawnPiece.js", "JavaScript", 0, 0, 14, 0, 0, 12, 6, 32
"x:\coding_projects\react_stuff\bored-games\lib\pages\AbstractGamePage.js", "JavaScript", 0, 0, 14, 0, 0, 3, 9, 26
"x:\coding_projects\react_stuff\bored-games\messages\Message.js", "JavaScript", 0, 0, 13, 0, 0, 6, 11, 30
"x:\coding_projects\react_stuff\bored-games\messages\RequestGameRoomsMessage.js", "JavaScript", 0, 0, 9, 0, 0, 0, 7, 16
"x:\coding_projects\react_stuff\bored-games\package-lock.json", "JSON", 7351, 0, 0, 0, 0, 0, 1, 7352
"x:\coding_projects\react_stuff\bored-games\package.json", "JSON", 22, 0, 0, 0, 0, 0, 1, 23
"x:\coding_projects\react_stuff\bored-games\pages\_app.js", "JavaScript", 0, 0, 28, 0, 0, 0, 11, 39
"x:\coding_projects\react_stuff\bored-games\pages\api\cors.js", "JavaScript", 0, 0, 12, 0, 0, 5, 3, 20
"x:\coding_projects\react_stuff\bored-games\pages\api\games.js", "JavaScript", 0, 0, 119, 0, 0, 41, 50, 210
"x:\coding_projects\react_stuff\bored-games\pages\checkers-game.js", "JavaScript", 0, 0, 9, 0, 0, 0, 5, 14
"x:\coding_projects\react_stuff\bored-games\pages\checkers.js", "JavaScript", 0, 0, 12, 0, 0, 0, 4, 16
"x:\coding_projects\react_stuff\bored-games\pages\checkers\[rid].js", "JavaScript", 0, 0, 19, 0, 0, 0, 14, 33
"x:\coding_projects\react_stuff\bored-games\pages\chess\[rid].js", "JavaScript", 0, 0, 9, 0, 0, 0, 11, 20
"x:\coding_projects\react_stuff\bored-games\pages\index.js", "JavaScript", 0, 0, 21, 0, 0, 0, 14, 35
"x:\coding_projects\react_stuff\bored-games\public\images\board_1.svg", "XML", 0, 0, 0, 0, 102, 1, 1, 104
"x:\coding_projects\react_stuff\bored-games\public\images\checkers_piece_black.svg", "XML", 0, 0, 0, 0, 11, 1, 1, 13
"x:\coding_projects\react_stuff\bored-games\public\images\checkers_piece_red.svg", "XML", 0, 0, 0, 0, 21, 1, 1, 23
"x:\coding_projects\react_stuff\bored-games\public\zeit.svg", "XML", 0, 0, 0, 0, 10, 0, 1, 11
"x:\coding_projects\react_stuff\bored-games\styles\global.css", "CSS", 0, 0, 0, 11, 0, 0, 2, 13
"x:\coding_projects\react_stuff\bored-games\styles\index.module.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 7373, 18, 1007, 78, 144, 247, 511, 9378